Trail_name,link_AllTrails,image,Difficulty,Average_rating,number_of_reviews,Location,Location,Length,description,Tags
Karnala Trail,https://www.alltrails.com/trail/india/maharashtra/karnala-trail,https://www.alltrails.com/api/alltrails/v2/trails/10389360/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.6,(21),,Karnala Wildlife Sanctuary,Length: 5.8 kmEst. 2h 15m,"Karnala Bird Sanctuary is along the Mumbai - Goa National Highway No. 66 (NH-66). Most prominent in the sanctuary is the small Hill Fort of Karnala distinguished by its Thumbs Up-shaped pinnacle. This fort has an elaborate history that dates back to the 14th century. 
According to the stories and history, this fort was under Devagiri Yadavs and quickly changed hands to the Tughlaq rulers. With time many rulers ruled this fort and it saw a plethora of history and culture. With beautiful lush...","Bird watching, Hiking, Walking, Kid friendly, Forest, Views, Wildflowers, Wildlife, Historic site"
Gaurikund - Kedarnath,https://www.alltrails.com/trail/india/uttarakhand/gaurikund-kedarnath,https://www.alltrails.com/api/alltrails/v2/trails/11062569/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.3,(21),,Kedarnath Wildlife Sanctuary,Length: 30.3 km,"This is one of the most famous pilgrim trails in India. Irrespective of age and condition people come from all around the world to see the spectacular 400-year-old Shiva temple. Due to the cloud burst in 2013, a lot of man-made structures have been lost although the natural beauty of the location has gone up exponentially, therefore making this trek even more worthwhile.  
Lush green surroundings with a background of the snow-covered Himalayas and the magical temple is a sight to behold....","Bird watching, Hiking, Backpacking, Partially paved, Forest, Lake, River, Views, Wildflowers, Wildlife, Historic site, Scramble, Rocky"
Chowpatty Beach - Nariman Point,https://www.alltrails.com/trail/india/maharashtra/chowpatty-beach-nariman-point,https://www.alltrails.com/api/alltrails/v2/trails/10706084/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Easy,4.1,(26),"Mumbai, Maharashtra, India",,Length: 7.9 kmEst. 1h 42m,"It is a walk around Mumbai on the periphery of the sea. It starts from Chowpatty and takes you to Nariman Point and back. It gives some amazing views during sunrise and sunset with orange light bouncing all over. This trail is perfect for that early morning and late-night outdoor walks when the traffic is less. Not only that it is also good for running and cycling. 
This trail begins from Marine Drive which is pretty well connected and can be reached via various modes of transport such as...","Bird watching, Hiking, Road biking, Running, Walking, Kid friendly, Partially paved, Beach, Views, City walk"
Sukhna Lake Trail,https://www.alltrails.com/trail/india/punjab/sukhna-lake-trail,https://www.alltrails.com/api/alltrails/v2/trails/11016535/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.0,(34),"Chandigarh, Punjab, India",,Length: 7.6 kmEst. 1h 35m,"Sukhna Lake is a beautiful artificial lake in the city of Chandigarh. This lake was developed in 1958 on one of the seasonal streams coming down from the Shivaliks. Le Corbusier and L. Verma, the chief engineers, were behind the creation of this lake. Sukhna Lake has been an integral part of the city and has always remained one of the favorites for the city planners. 
Apart from the history, this location provides some of the most amazing views that are pretty green, with a beautiful lake...","Bird watching, Running, Walking, Paddle sports, Kid friendly, Paved, Lake, Views, City walk"
Taljai Hike,https://www.alltrails.com/trail/india/maharashtra/taljai-hike,https://www.alltrails.com/api/alltrails/v2/trails/11074160/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.4,(47),,Taljai Forest,Length: 9.8 kmEst. 2h 31m,"Taljai is a small hill in the heart of Pune city that has been deemed a reserve forest. This forest area is lush green with various flora, fauna, and avifauna species. A few animals reside here but are very hard to find as they are pretty skittish, although it is known for the population of different species of birds that live or migrate to this park. A lot of bird-watching enthusiasts visit this park to observe these species. Besides the wide variety of flora and avifauna, this area is...","Bird watching, Hiking, Walking, Partially paved, Forest, Lake, Views, Wildflowers, Wildlife, Historic site"
Barsheini - Kheerganga,https://www.alltrails.com/trail/india/himachal-pradesh/barsheini-khirganga,https://www.alltrails.com/api/alltrails/v2/trails/11064654/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.3,(21),,Khirganga National Park,Length: 15.6 km,"Kheerganga is a beautiful location in the Parvati Valley near Kasol. It is pretty famous among the people visiting Kasol and Manikaran and is one of the top activities that tourists partake in while visiting this region. Virid green environments make up the surroundings of this location that are not only green but highly biodiverse as well, with many different species of animals, birds, and plants to explore and observe. 
Visuals of this location comprises of beautiful green valleys,...","Camping, Bird watching, Hiking, Snowshoeing, Walking, Backpacking, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Scramble, Rocky, Snow, Muddy"
Balsari - Kanyal Village via Dani Devta Temple,https://www.alltrails.com/trail/india/himachal-pradesh/balsari-kanyal-village-via-dani-devta-temple,https://www.alltrails.com/api/alltrails/v2/trails/11067468/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.4,(17),"Manali, Himachal Pradesh, India",,Length: 6.6 kmEst. 2h 29m,"This is one of the fabulous hikes near the Manali region that takes one deep into the rural area near the hill city. There is a bit of forest area with spectacular views and verdant environments, and being close to the Manali Wildlife Sanctuary, this region is highly biodiverse as well, both in terms of flora and fauna. Multiple species of birds reside here as well, therefore making this one of the good locations for birdwatching as well. During the winters, this region receives a good amount...","Hiking, Snowshoeing, Walking, Forest, River, Views, Wildflowers, Wildlife, Historic site"
Visapur Fort Trail,https://www.alltrails.com/trail/india/maharashtra/visapur-fort-trail,https://www.alltrails.com/api/alltrails/v2/trails/11014103/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.5,(18),"Kamshet, Maharashtra, India",,Length: 4.2 km,"Visapur Fort is a fort in the vicinity of Visapur village. It is part of the Lohagad-Visapur fortification and was built during 1713 - 1720 by Balaji Vishwanath, one of the first Peshwa of the Maratha Empire. This fort was built even before the Lohagad fort. Due to its vicinity to Lohagad and height, the British first charged and occupied Visapur Fort and then attacked Lohagad from Visapur, resulting in the fall of both forts. 
Other than the detailed history, the surroundings of this region...","Hiking, Forest, Lake, Views, Wildflowers, Wildlife, Historic site, Scramble, Rocky"
Mulund Hill Loop,https://www.alltrails.com/trail/india/maharashtra/mulund-hill-loop,https://www.alltrails.com/api/alltrails/v2/trails/10365094/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,3.7,(27),,Sanjay Gandhi National Park,Length: 2.7 km,"The Mulund Hills are a range of hills located in the eastern part of Sanjay Gandhi National Park, near the suburb of Mulund in Mumbai. The hills are known for their picturesque landscapes and are popular among hikers and nature lovers.
Apart from trekking, the Mulund Hills are also home to a variety of flora and fauna, including several species of birds, butterflies, and mammals. The hills are covered with dense forests that are rich in biodiversity and offer a peaceful retreat from the...","Bird watching, Hiking, Walking, Views, Wildflowers, Wildlife, Scramble, Rocky"
David Scott Trail to Mawkdok,https://www.alltrails.com/trail/india/meghalaya/david-scott-trail-extended,https://www.alltrails.com/api/alltrails/v2/trails/11060410/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.5,(21),,Cherrapunji-Mawsynram Reserve Forest,Length: 11.1 km,"This is one of the oldest trails in the region. It was discovered by the British officer David Scott and was named after him. This route was found as a mule route between Assam to Bangladesh in the 1800s. Although the trail stretches for roughly about 100km but with time, this trail has been broken into many smaller trails that can be completed in a day. The most famous of these smaller trails are from Mawphlang to Lad Mawphlang. 
It has beautiful lush green forest areas of the Eastern Khasi...","Bird watching, Hiking, Walking, Partially paved, Forest, River, Waterfall, Wildflowers, Wildlife, Scramble"
Upper Jogini Falls Trail,https://www.alltrails.com/trail/india/himachal-pradesh/upper-jogini-falls-trail,https://www.alltrails.com/api/alltrails/v2/trails/11083036/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.6,(12),"Manali, Himachal Pradesh, India",,Length: 1.9 kmEst. 1h 19m,"Jogini Falls is a 160-foot tall waterfall nearby the city of Vashisht. These falls derive their name from the Goddess Jogini and are considered sacred, not only the falls but the river and surroundings are considered sacred. It is believed that this is one of the Shakti Peetha's. 
There are 51 Shakti Peetha's throughout India, these Peetha's are locations where different parts of Shiva's wife's body reside. Sati being a goddess has made these locations sacred, temples, falls, etc are made in...","Bird watching, Hiking, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Rocky, Snow"
Rainbow Waterfall via Living Root Bridge,https://www.alltrails.com/trail/india/meghalaya/rainbow-waterfall-via-living-root-bridge,https://www.alltrails.com/api/alltrails/v2/trails/10779423/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.7,(16),"Shella Bholaganj, Meghalaya, India",,Length: 12.2 kmEst. 5h 33m,"Beautiful hike on the double-decker living root bridge! The bridge consists of a multitude of steps so please be prepared. All along this trail, there are a variety of small shops selling bottled water, chips, fruit, and other refreshments. The double-decker bridge is stunning, and there is a pool with fish that nibble on your feet.
After that, you arrive at the double-decker bridge and continue onto the Rainbow waterfalls. The path is mostly an ascend but not too challenging. The waterfall...","Hiking, Walking, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Rocky"
Chamundi Hills,https://www.alltrails.com/trail/india/karnataka/chamundi-hills,https://www.alltrails.com/api/alltrails/v2/trails/10431553/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Moderate,4.6,(24),"Mysuru, Karnataka, India",,Length: 3.5 kmEst. 1h 37m,"Chamundi Hills house Chamundeshwari Temple atop it, which is one of the attractions of this place. Other than the temple, views and 1008 stone steps are the attraction of this place. There is a huge Nandi statue as well, halfway to the top. Nandi is the bull of Lord Siva or more precisely the ""Vahana"" (vehicle). 
This temple has many myths and stories associated with it, one of them says that Asura Mahisasura who was the king of Mysore at that time was killed in a fierce battle with...","Hiking, Walking, Kid friendly, Paved, Views, Wildlife, Historic site"
Valley of Flowers,https://www.alltrails.com/trail/india/uttarakhand/valley-of-flowers,https://www.alltrails.com/api/alltrails/v2/trails/10321454/photos/5?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.7,(19),,Valley of Flowers National Park,Length: 36.0 km,"As the name suggests, the Valley of Flowers is a valley full of flowers. These flowers are not planted by anyone but grow over here in the wild by themselves. There are about 498 flowering plants, and in total, 520 species of plants are found here. 
The whole valley fills up with these different flowering species, and oh boy! That is some view. The whole valley sparkles with many colors, from bright reds, yellows, and whites. In the backdrop is the beautiful view of the upper Himalayas with...","Camping, Bird watching, Hiking, Snowshoeing, Walking, Backpacking, Partially paved, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Historic site, Scramble, Rocky, Muddy"
Irshalgad,https://www.alltrails.com/trail/india/maharashtra/irshalgad-trek,https://www.alltrails.com/api/alltrails/v2/trails/10599884/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.1,(19),"Karjat Raigarh, Maharashtra, India",,Length: 7.6 km,"Irshalgad is a beautiful fort trek in the Western Ghats. It is a sister fort to Prabalgad and since July 2021 this fort has been opened up to the public where one can go and enjoy the piece of History. 
This trail has some of the most beautiful scenic views throughout where one will be stopping every now and then to click a picture. It is very picturesque during the monsoon season but it is not suggested for one to visit at that time as the path becomes very slippery. 
Otherwise, the trail...","Hiking, Walking, Views, Historic site, Scramble, No shade"
Kudremukh Trail,https://www.alltrails.com/trail/india/karnataka/kudremukha-trail,https://www.alltrails.com/api/alltrails/v2/trails/11054868/photos/0?size=larger_wide&key=3p0t5s6b5g4g0e8k3c1j3w7y5c3m4t8i,Hard,4.9,(19),,Kudremukh National Park,Length: 17.4 km,"The Kudremukh Range gets its name from the unique shape of its main peak. The broad hills overlook the Arabian Sea and are chained to one another by deep valleys and steep precipices. It is believed that Kudremukh served as a landmark for sailors on the western coast for over 2000 years. As yet ‘undiscovered’ by tourists, Kudremukh is a trekker’s paradise. It's a wonderland of lush green forests interspersed with rivers, grassy slopes, captivating cascades, caves, and ruins that amaze as one...","Camping, Bird watching, Hiking, Backpacking, Forest, River, Views, Waterfall, Wildflowers, Historic site, Scramble, Fee, Bugs, Muddy"
